bloque,operador,formacion,ventana,n_wells,n_vm,n_gas,n_oil,vintage_min,vintage_max,pozos_ult3a,share_ult3a,anios_activo,rama_mediana,area_km2,well_density,pct_developed,eur_gas_total,eur_oil_total,cum_gas,cum_oil,eur_gas_km2,eur_oil_km2,eur_gas_km_med,eur_oil_km_med,depletion_gas,depletion_oil,depletion_boe,rf_gas_hoy,rf_oil_hoy,rf_gas_vs_ult,rf_oil_vs_ult,maturity_index,stage
LOMA CAMPANA,YPF S.A.,vaca muerta,petróleo,862,831,134,157,2010,2026,98,0.11,17,2252.5,396.0,2.18,0.726,9014.0,42574.0,8645.0,35541.0,22.8,107.6,6.8,49.9,0.959,0.835,0.856,0.0201,0.0752,0.078,1.269,80.6,Maduro
EL OREJANO,YPF S.A.,vaca muerta,gas seco,90,90,44,4,2012,2024,1,0.01,15,1613.0,45.0,2.0,0.667,13958.0,38.0,10218.0,37.0,310.2,0.8,90.5,1.0,0.732,0.984,0.733,0.2734,0.0006,1.067,0.01,73.6,Declinación
LA AMARGA CHICA,YPF S.A.,vaca muerta,petróleo,328,328,106,136,2011,2026,138,0.42,16,2501.0,189.0,1.74,0.579,2619.0,26137.0,2404.0,19886.0,13.9,138.3,3.6,42.2,0.918,0.761,0.775,0.0122,0.0967,0.048,1.631,70.1,Maduro
CENTENARIO CENTRO,FLXS OGE S.A,los molles,gas seco,130,2,0,0,2010,2018,0,0.0,17,,130.0,1.0,0.334,3865.0,137.0,3592.0,135.0,29.8,1.1,,,0.929,0.99,0.932,0.0262,0.0007,0.102,0.012,61.3,Declinación
ESTACION FERNANDEZ ORO,QUINTANA E&P ARGENTINA S.R.L.,lajas,gas húmedo / condensado,191,0,0,0,2010,2020,0,0.0,17,,193.0,0.99,0.33,10826.0,2194.0,10076.0,2063.0,56.0,11.4,,,0.931,0.94,0.932,0.0494,0.0079,0.193,0.134,61.1,Declinación
RINCON DEL MANGRULLO,YPF S.A.,mulichinco,gas seco,192,58,29,23,2013,2026,7,0.04,14,2493.0,180.0,1.07,0.355,22856.0,310.0,18186.0,309.0,126.9,1.7,124.8,0.6,0.796,0.998,0.798,0.1118,0.0012,0.436,0.02,58.5,Declinación
LOMA LA LATA - SIERRA BARROSA,YPF S.A.,lajas,gas seco,225,12,2,1,2010,2025,3,0.01,17,1976.0,249.0,0.9,0.301,16326.0,197.0,14584.0,182.0,65.5,0.8,62.5,29.3,0.893,0.922,0.894,0.0577,0.0006,0.225,0.009,58.4,Declinación
BANDURRIA SUR,YPF S.A.,vaca muerta,petróleo,220,219,71,74,2013,2026,118,0.54,14,2728.0,228.0,0.97,0.322,2890.0,16723.0,2459.0,13349.0,12.7,73.4,6.3,40.6,0.851,0.798,0.806,0.0112,0.0513,0.044,0.865,56.9,Desarrollo activo
LA RIBERA BLOQUE I,YPF S.A.,vaca muerta,gas húmedo / condensado,20,20,7,6,2015,2022,0,0.0,12,2222.5,22.0,0.91,0.304,2302.0,338.0,1921.0,281.0,105.0,15.4,79.7,12.1,0.834,0.83,0.834,0.0926,0.0108,0.361,0.182,56.7,Declinación
FORTIN DE PIEDRA,TECPETROL S.A.,vaca muerta,gas seco,193,193,92,71,2012,2026,56,0.29,15,2524.0,249.0,0.78,0.259,56114.0,3614.0,41772.0,2764.0,225.8,14.5,153.9,4.6,0.744,0.765,0.746,0.199,0.0102,0.777,0.171,51.6,Desarrollo activo
EL MANGRULLO,PAMPA ENERGIA S.A.,agrio,gas seco,103,17,1,2,2010,2024,3,0.03,17,2504.0,188.0,0.55,0.182,24728.0,58.0,20395.0,58.0,131.4,0.3,20.7,0.6,0.825,0.992,0.825,0.1158,0.0002,0.452,0.004,49.8,Declinación
AGUA DEL CAJON,CAPEX S.A.,los molles,gas seco,142,16,0,0,2010,2025,8,0.06,17,1574.0,355.0,0.4,0.134,2521.0,349.0,2280.0,330.0,7.1,1.0,,,0.904,0.943,0.909,0.0063,0.0007,0.024,0.012,49.6,Desarrollo temprano
AGUADA DEL CHAÑAR,YPF S.A.,vaca muerta,petróleo,64,64,19,23,2021,2025,54,0.84,6,2839.0,56.0,1.14,0.38,207.0,3692.0,190.0,2504.0,3.7,65.7,1.2,33.8,0.921,0.678,0.691,0.0032,0.0459,0.013,0.775,49.1,Desarrollo activo
BAJADA DEL PALO OESTE,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo,172,172,57,72,2010,2026,86,0.5,17,2817.5,254.0,0.68,0.226,1692.0,18347.0,1536.0,12745.0,6.7,72.2,5.0,57.1,0.908,0.695,0.712,0.0059,0.0505,0.023,0.852,48.8,Desarrollo activo
LOS TOLDOS II ESTE,TECPETROL S.A.,vaca muerta,petróleo,13,13,0,0,2012,2026,6,0.46,15,1914.5,78.0,0.17,0.056,93.0,429.0,93.0,428.0,1.2,5.5,,,0.998,0.997,0.997,0.0011,0.0038,0.004,0.065,48.0,Desarrollo temprano
LINDERO ATRAVESADO,PAN AMERICAN ENERGY SL,lajas,gas seco,178,69,8,6,2010,2026,22,0.12,17,2750.0,510.0,0.35,0.116,7833.0,5171.0,7475.0,3713.0,15.4,10.1,3.5,42.2,0.954,0.718,0.858,0.0135,0.0071,0.053,0.12,47.1,Desarrollo temprano
