id,sigla,empresa,area,provincia,formacion,recurso,reservorio,tipopozo,m0,ultimo_mes,vintage,n_meses,rama_m,fracturas,etapas_km,arena_tn,arena_tn_m,lbs_ft,fluid_bbl_ft,completion_bucket,fecha_fractura,landing,landing_zona,tvd,cum5y_gas_bcf,cum5y_gas_norm,cum5y_oil_kbbl,cum5y_oil_norm,gor,ventana,peak_gas_mmm3d,peak_oil_m3d,cum_gas_mmm3,cum_oil_mm3,ip180_gas_mmm3,ip365_gas_mmm3,ip180_oil_mm3,ip365_oil_mm3,qi_gas,di_gas,b_gas,r2_gas,t_peak_gas,eur_gas_mmm3,eur_gas_por_km,vida_gas_meses,eur_conf_gas,qi_oil,di_oil,b_oil,r2_oil,t_peak_oil,eur_oil_mm3,eur_oil_por_km,vida_oil_meses,eur_conf_oil
133594,PBE.Nq.M-1024,PAMPA ENERGIA S.A.,EL MANGRULLO,Neuquén,mulichinco,TIGHT,,Gasífero,2010-01,2026-05,2010,197,0,0,,0,,,,,,,,,9.52,,15.1,,109940.0,gas seco,0.4568,3.1,404.23,3.68,29.34,58.24,0.26,0.61,198.219,0.01026,0.238,0.311,1,1954.8,,360,media,,,,,,3.7,,0,baja
162914,PAE.Nq.APO-109(h),PAN AMERICAN ENERGY SL,AGUADA PICHANA OESTE,Neuquén,vaca muerta,SHALE,SHALE,Gasífero,2021-12,2026-05,2021,54,2800.0,47,16.79,9537.0,3.406,2289.0,56.0,SD,2021-12,U2,VM Medio,2802.0,16.6,17.78,0.0,0.0,,gas seco,0.5438,0.0,444.64,0.0,86.61,181.05,0.0,0.0,585.008,0.06481,1.185,0.794,6,959.2,342.6,360,alta,,,,,,0.0,0.0,0,baja
164415,YPF.Nq.RDMN-258(h),YPF S.A.,RINCON DEL MANGRULLO,Neuquén,vaca muerta,SHALE,SHALE,Gasífero,2023-06,2026-05,2023,36,4208.0,73,17.35,15153.0,3.601,2420.0,61.0,SD,2023-04,U2,VM Medio,2957.0,13.97,9.96,9.6,6.9,176898.0,gas seco,0.5703,3.8,270.41,1.53,63.78,141.5,0.54,0.9,515.242,0.04553,0.931,0.841,4,881.3,209.4,360,alta,,,,,,1.5,0.4,0,baja
163435,TAU.Nq.AP-1040(h),TOTAL AUSTRAL S.A.,AGUADA PICHANA ESTE,Neuquén,vaca muerta,SHALE,SHALE,Gasífero,2022-07,2026-05,2022,47,3193.0,49,15.35,9743.0,3.051,2050.0,47.0,SD,2022-06,U2,VM Medio,2724.0,19.48,18.3,0.0,0.0,,gas seco,0.5878,0.0,480.03,0.0,87.09,169.57,0.0,0.0,548.667,0.01727,0.0,0.735,2,832.7,260.8,267,alta,,,,,,0.0,0.0,0,baja
159956,PBE.Nq.M-1078,PAMPA ENERGIA S.A.,EL MANGRULLO,Neuquén,agrio,TIGHT,TIGHT,Gasífero,2018-11,2026-05,2018,91,0,4,,436.0,,,,,2018-11,,,,15.77,,0.3,,4710460.0,gas seco,0.4677,0.3,534.63,0.11,62.89,114.28,0.0,0.0,370.335,0.01316,0.0,0.741,1,826.7,,316,alta,,,,,,0.1,,0,baja
162835,TAU.Nq.AP-1028(h),TOTAL AUSTRAL S.A.,AGUADA PICHANA ESTE,Neuquén,vaca muerta,SHALE,SHALE,Gasífero,2021-11,2026-05,2021,55,2963.0,40,13.5,10815.0,3.65,2453.0,52.0,SD,2021-10,U1,VM Inferior,2769.0,19.32,19.56,0.0,0.0,,gas seco,0.5313,0.0,518.86,0.0,67.28,155.87,0.0,0.0,502.249,0.01942,0.0,0.867,9,820.8,277.1,236,alta,,,,,,0.0,0.0,0,baja
159241,PBE.Nq.M-1064,PAMPA ENERGIA S.A.,EL MANGRULLO,Neuquén,agrio,TIGHT,TIGHT,Gasífero,2018-04,2026-05,2018,98,0,7,,760.0,,,,,2018-04,,,,20.53,,1.4,,2177354.0,gas seco,0.5114,1.5,675.92,0.31,84.39,147.96,0.0,0.0,461.343,0.01457,0.0,0.714,4,814.2,,242,alta,1.146,0.0343,0.0,0.78,0,0.3,,0,alta
147356,TAU.Nq.APN-29(h),TOTAL AUSTRAL S.A.,AGUADA PICHANA ESTE,Neuquén,mulichinco,TIGHT,TIGHT,Gasífero,2014-05,2026-05,2014,145,1010.0,8,7.92,382.0,0.378,254.0,2.0,SSD,2014-04,,,,12.92,,25.7,,85022.0,gas seco,0.3728,4.1,511.78,6.02,47.32,109.95,0.52,1.21,361.486,0.02698,0.712,0.975,10,813.0,805.0,360,alta,4.031,0.02885,1.122,0.913,10,9.9,9.8,150,alta
158890,YPF.Nq.EOr-104(h),YPF S.A.,EL OREJANO,Neuquén,vaca muerta,SHALE,SHALE,Gasífero,2018-01,2026-05,2018,101,2606.0,35,13.43,7560.0,2.9,1949.0,50.0,SD,2017-10,U1,VM Inferior,2798.0,11.55,13.3,0.0,0.0,,gas seco,0.4368,0.0,465.9,0.0,32.89,103.58,0.0,0.0,329.545,0.00975,0.0,0.469,8,800.0,306.9,360,media,,,,,,0.0,0.0,0,baja
163322,YPF.Nq.AdlA-1014(h),YPF S.A.,AGUADA DE LA ARENA,Neuquén,vaca muerta,SHALE,SHALE,Gasífero,2022-06,2026-05,2022,48,2103.0,34,16.17,8079.0,3.842,2581.0,62.0,HD,2022-05,U1,VM Inferior,2847.0,15.69,22.38,0.6,0.8,3882119.0,gas seco,0.5534,0.6,354.09,0.09,35.55,116.62,0.0,0.0,453.836,0.01983,0.0,0.351,11,777.4,369.7,249,media,,,,,,0.1,0.0,0,baja
