bloque,operador,formacion,ventana,n_wells,n_vm,n_gas,n_oil,vintage_min,vintage_max,rama_mediana,eur_gas_total,eur_oil_total,cum_gas,cum_oil,eur_gas_km_med,eur_oil_km_med
FORTIN DE PIEDRA,TECPETROL S.A.,vaca muerta,gas seco,193,193,92,71,2012,2026,2524.0,56114.0,3614.0,41772.0,2764.0,153.9,4.6
AGUADA PICHANA ESTE,TOTAL AUSTRAL S.A.,vaca muerta,gas seco,137,100,41,18,2010,2026,2000.0,33549.0,409.0,25887.0,371.0,182.4,2.2
EL MANGRULLO,PAMPA ENERGIA S.A.,agrio,gas seco,103,17,1,2,2010,2024,2504.0,24728.0,58.0,20395.0,58.0,20.7,0.6
RINCON DEL MANGRULLO,YPF S.A.,mulichinco,gas seco,192,58,29,23,2013,2026,2493.0,22856.0,310.0,18186.0,309.0,124.8,0.6
AGUADA PICHANA OESTE,PAN AMERICAN ENERGY SL,vaca muerta,gas seco,57,57,33,0,2018,2026,2800.0,19092.0,0,12836.0,0,182.0,
LA CALERA,PLUSPETROL S.A.,vaca muerta,gas húmedo / condensado,118,118,49,47,2018,2026,2951.0,19084.0,5803.0,13435.0,4076.0,74.9,26.2
RIO NEUQUEN,YPF S.A.,punta rosada,gas seco,107,2,0,0,2010,2025,2004.5,16894.0,1234.0,14989.0,1077.0,,
LOMA LA LATA - SIERRA BARROSA,YPF S.A.,lajas,gas seco,225,12,2,1,2010,2025,1976.0,16326.0,197.0,14584.0,182.0,62.5,29.3
EL OREJANO,YPF S.A.,vaca muerta,gas seco,90,90,44,4,2012,2024,1613.0,13958.0,38.0,10218.0,37.0,90.5,1.0
ESTACION FERNANDEZ ORO,QUINTANA E&P ARGENTINA S.R.L.,lajas,gas húmedo / condensado,191,0,0,0,2010,2020,,10826.0,2194.0,10076.0,2063.0,,
AGUADA DE LA ARENA,YPF S.A.,vaca muerta,gas seco,41,41,19,4,2018,2026,2108.0,10370.0,145.0,6950.0,129.0,164.2,6.2
SIERRA CHATA,PAMPA ENERGIA S.A.,vaca muerta,gas seco,52,30,8,1,2010,2026,2502.5,10094.0,53.0,7700.0,39.0,247.6,12.9
LOMA CAMPANA,YPF S.A.,vaca muerta,petróleo,862,831,134,157,2010,2026,2252.5,9014.0,42574.0,8645.0,35541.0,6.8,49.9
LINDERO ATRAVESADO,PAN AMERICAN ENERGY SL,lajas,gas seco,178,69,8,6,2010,2026,2750.0,7833.0,5171.0,7475.0,3713.0,3.5,42.2
CENTENARIO CENTRO,FLXS OGE S.A,los molles,gas seco,130,2,0,0,2010,2018,,3865.0,137.0,3592.0,135.0,,
BANDURRIA SUR,YPF S.A.,vaca muerta,petróleo,220,219,71,74,2013,2026,2721.0,2890.0,16723.0,2459.0,13349.0,6.3,40.6
LA AMARGA CHICA,YPF S.A.,vaca muerta,petróleo,328,328,106,136,2011,2026,2499.5,2619.0,26137.0,2404.0,19886.0,3.6,42.2
AGUA DEL CAJON,CAPEX S.A.,los molles,gas seco,142,16,0,0,2010,2025,1574.0,2521.0,349.0,2280.0,330.0,,
LA RIBERA BLOQUE I,YPF S.A.,vaca muerta,gas húmedo / condensado,20,20,7,6,2015,2022,2222.5,2302.0,338.0,1921.0,281.0,79.7,12.1
LOMA NEGRA,CAPEX S.A.,lajas,gas húmedo / condensado,15,0,0,0,2010,2023,,2248.0,276.0,1757.0,216.0,,
AGUADA DE CASTRO,PAN AMERICAN ENERGY SL,vaca muerta,gas seco,10,10,6,0,2013,2024,2500.0,1878.0,0,1587.0,0,102.6,
AL NORTE DE LA DORSAL,BENTIA ENERGY S.A.,precuyo,gas seco,40,1,0,1,2010,2019,1908.0,1735.0,105.0,1620.0,77.0,,33.5
BAJADA DEL PALO OESTE,VISTA ENERGY ARGENTINA SAU,vaca muerta,petróleo,172,172,57,72,2010,2026,2817.5,1692.0,18347.0,1536.0,12745.0,5.0,57.1
BAJO DEL CHOIQUE - LA INVERNADA,PLUSPETROL CUENCA NEUQUINA S.R.L.,vaca muerta,petróleo volátil,41,41,6,10,2014,2026,3026.5,1636.0,3638.0,1305.0,3095.0,33.5,52.2
PAMPA DE LAS YEGUAS I,PLUSPETROL CUENCA NEUQUINA S.R.L.,vaca muerta,gas seco,5,4,2,0,2014,2019,3298.0,1449.0,6.0,946.0,6.0,159.7,
