id,sigla,area,empresa_frac,rama_m,fracturas,arena_tn,agua_m3,formacion_frac,reservorio,fecha_fractura
8788,SJ.Nq.Cc.x-1,EL TRAPIAL - CURAMCHED,CHEVRON ARGENTINA S.R.L.,0.0,1,17.0,109.0,agrio,CONVENCIONAL,2010-11
9183,SJ.Nq.ET.a-123,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,7.0,51.0,huitrín,CONVENCIONAL,2010-11
9221,SJ.Nq.ET.i-153,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,0.0,28.0,huitrín,,2010-01
9301,SJ.Nq.ET-218,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,8.7,54.0,huitrín,,2010-12
9352,CSJ.Nq.ET-270,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,24.6,107.0,huitrín,CONVENCIONAL,2011-10
9531,CSJ.Nq.ET-405,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,0.0,31.0,huitrín,CONVENCIONAL,2010-01
9556,CSJ.Nq.ET-426,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,7.4,77.0,huitrín,CONVENCIONAL,2011-10
9557,CSJ.Nq.ET-427,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,11.3,52.0,huitrín,CONVENCIONAL,2011-11
9591,CSJ.Nq.ET-455,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,15.2,48.0,huitrín,CONVENCIONAL,2012-03
9721,CSJ.Nq.ET-545,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,20.8,47.0,agrio,CONVENCIONAL,2012-06
9729,CSJ.Nq.ET-551,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,0.0,29.0,huitrín,CONVENCIONAL,2011-02
9792,CSJ.Nq.ET.i-599,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,9.5,54.0,huitrín,CONVENCIONAL,2011-12
9914,CSJ.Nq.ET.i-708,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,20.9,50.0,huitrín,CONVENCIONAL,2012-06
9957,CSJ.Nq.ET.a-756,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,16.6,53.0,huitrín,CONVENCIONAL,2012-05
9991,SJ.Nq.ET.a-96,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,16.3,93.0,huitrín,CONVENCIONAL,2011-09
9994,SJ.Nq.ET.a-98,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,7.5,47.0,agrio,CONVENCIONAL,2010-01
10119,CSJ.RN.LN.i-29,LOMA NEGRA,CAPEX S.A.,0.0,1,12.0,50.8,precuyo,CONVENCIONAL,2021-09
42875,YPF.Md.N.PRo.a-59,PUESTO ROJAS,PETROLERA EL TREBOL S.A.,0.0,4,427.5,1557.5,formación improductiva,,2017-08
79240,CSJ.Nq.ET.i-779,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,0.0,28.0,huitrín,CONVENCIONAL,2012-07
96671,APS.Nq.Sa-1087,AGUA DEL CAJON,CAPEX S.A.,0.0,1,19.0,50.0,quintuco,CONVENCIONAL,2013-02
96679,APS.Nq.Sa-1095,AGUA DEL CAJON,CAPEX S.A.,0.0,1,18.0,63.0,tordillo,CONVENCIONAL,2010-01
119854,CSJ.Nq.ET-800,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,12.3,49.0,huitrín,CONVENCIONAL,2013-01
125447,CSJ.Nq.ET-837,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,8.6,43.0,huitrín,CONVENCIONAL,2013-01
125583,CSJ.Nq.ET.i-836,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,2,19.7,113.0,huitrín,CONVENCIONAL,2011-07
125636,CSJ.Nq.ET-843,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,21.8,65.0,huitrín,CONVENCIONAL,2012-03
125878,CSJ.Nq.ET-839,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,12.6,74.0,huitrín,CONVENCIONAL,2011-09
126198,CSJ.Nq.ET-823,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,22.5,63.0,huitrín,CONVENCIONAL,2012-03
126342,CSJ.Nq.ET.WW-38,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,10.3,40.0,huitrín,CONVENCIONAL,2012-02
126485,CSJ.Nq.ET.i-846,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,12.5,61.0,huitrín,CONVENCIONAL,2011-10
127315,CA.Nq.ET-859,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,22.2,68.0,huitrín,CONVENCIONAL,2012-05
127922,CA.Nq.ET-857,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,10.0,56.0,huitrín,CONVENCIONAL,2011-09
128037,CA.Nq.ET-883,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,16.7,63.0,huitrín,CONVENCIONAL,2012-01
128039,TPT.RN.ADIS.a-3,AGUA SALADA,TECPETROL S.A.,0.0,10,302.5,1197.2,los molles,CONVENCIONAL,2022-06
129083,CA.Nq.ET.i-900,EL TRAPIAL ESTE,CHEVRON ARGENTINA S.R.L.,0.0,1,9.7,46.0,huitrín,CONVENCIONAL,2012-04
